invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,paid_amount,payment_date,agreed_payment_days,is_msme_vendor,msme_category,status,description
INV-0651,V038,Blue Star Limited,2025-10-27,2025-12-11,453077.75,0.00,,45,false,,overdue,Invoice from Blue Star Limited
INV-0552,V031,Godrej Industries Ltd,2025-11-05,2025-12-20,226140.25,0.00,,45,false,,overdue,Invoice from Godrej Industries Ltd
INV-0482,V026,Mahindra & Mahindra Ltd,2025-11-19,2026-01-03,146445.45,146445.45,2026-01-03,45,false,,paid,Invoice from Mahindra & Mahindra Ltd
INV-0521,V028,Bharat Heavy Electricals,2026-01-21,2026-03-07,320782.56,320782.56,2026-03-04,45,false,,paid,Invoice from Bharat Heavy Electricals
INV-0209,V011,Deshmukh Rubber Products,2026-02-03,2026-03-20,237897.91,180335.27,2026-03-25,45,true,small,partially_paid,Invoice from Deshmukh Rubber Products
INV-0418,V021,Kulkarni Springs & Washers,2025-10-31,2025-11-30,239332.89,239332.89,2025-11-25,30,true,micro,paid,Invoice from Kulkarni Springs & Washers
INV-0714,V043,Escorts Limited,2025-12-16,2026-01-30,273311.47,0.00,,45,false,,overdue,Invoice from Escorts Limited
INV-0371,V019,Saxena Tooling Solutions,2026-02-23,2026-03-25,281191.79,281191.79,2026-03-20,,true,micro,paid,Invoice from Saxena Tooling Solutions
INV-0684,V041,Thermax Limited,2025-12-20,2026-01-19,159385.72,159385.72,2026-02-02,30,false,,paid,Invoice from Thermax Limited
INV-0144,V008,Agarwal Electrical Systems,2026-02-13,2026-03-15,434091.42,434091.42,2026-03-13,30,true,micro,paid,Invoice from Agarwal Electrical Systems
INV-0672,V040,Crompton Greaves,2025-11-17,2026-01-01,293210.79,293210.79,2026-03-02,45,false,,paid,Invoice from Crompton Greaves
INV-0018,V001,Sharma Precision Tools Pvt Ltd,2025-10-05,2025-11-04,40344.24,22878.01,2025-11-11,30,true,micro,partially_paid,Invoice from Sharma Precision Tools Pvt Ltd
INV-0102,V006,Singh Auto Parts,2026-02-18,2026-03-20,439134.01,439134.01,2026-03-18,,true,micro,paid,Invoice from Singh Auto Parts
INV-0683,V041,Thermax Limited,2026-02-18,2026-03-20,416502.28,0.00,,30,false,,overdue,Invoice from Thermax Limited
INV-0713,V043,Escorts Limited,2025-10-30,2025-12-14,257848.96,111892.13,2025-12-31,45,false,,partially_paid,Invoice from Escorts Limited
INV-0129,V007,Joshi Engineering Solutions,2025-10-07,2025-11-21,142269.12,0.00,,45,true,small,overdue,Invoice from Joshi Engineering Solutions
INV-0246,V013,Nair Chemical Industries,2026-01-05,2026-02-04,498725.83,0.00,,30,true,small,overdue,Invoice from Nair Chemical Industries
INV-0266,V014,Rao Hydraulics & Pneumatics,2025-12-26,2026-01-10,375003.03,375003.03,2026-01-06,,true,micro,paid,Invoice from Rao Hydraulics & Pneumatics
INV-0740,V044,Ashok Leyland Ltd,2026-03-08,2026-04-07,54289.50,0.00,,30,false,,pending,Invoice from Ashok Leyland Ltd
INV-0674,V040,Crompton Greaves,2025-12-17,2026-01-31,352308.97,0.00,,45,false,,overdue,Invoice from Crompton Greaves
INV-0646,V038,Blue Star Limited,2026-01-09,2026-02-23,55604.55,55604.55,2026-02-20,45,false,,paid,Invoice from Blue Star Limited
INV-0815,V050,NTN Bearing India,2025-12-26,2026-02-09,162438.57,162438.57,2026-02-09,45,false,,paid,Invoice from NTN Bearing India
INV-0633,V036,Bosch India Limited,2025-12-08,2026-02-06,464793.10,464793.10,2026-02-02,60,false,,paid,Invoice from Bosch India Limited
INV-0732,V044,Ashok Leyland Ltd,2025-12-15,2026-01-14,230074.35,230074.35,2026-02-21,30,false,,paid,Invoice from Ashok Leyland Ltd
INV-0083,V005,Mehta Polymers & Plastics,2026-01-11,2026-02-10,62137.19,62137.19,2026-02-06,30,true,medium,paid,Invoice from Mehta Polymers & Plastics
INV-0730,V044,Ashok Leyland Ltd,2025-11-24,2025-12-24,42380.56,0.00,,30,false,,overdue,Invoice from Ashok Leyland Ltd
INV-0569,V032,Adani Enterprises Ltd,2026-03-19,2026-06-17,379308.81,0.00,,90,false,,pending,Invoice from Adani Enterprises Ltd
INV-0269,V014,Rao Hydraulics & Pneumatics,2026-01-03,2026-02-02,374546.88,0.00,,,true,micro,overdue,Invoice from Rao Hydraulics & Pneumatics
INV-0121,V007,Joshi Engineering Solutions,2025-12-01,2026-01-15,113326.36,0.00,,45,true,small,overdue,Invoice from Joshi Engineering Solutions
INV-0230,V012,Banerjee Textiles,2026-01-10,2026-02-09,411171.99,411171.99,2026-02-07,30,true,medium,paid,Invoice from Banerjee Textiles
INV-0376,V019,Saxena Tooling Solutions,2025-11-05,2025-12-20,51259.22,51259.22,2026-01-13,,true,micro,paid,Invoice from Saxena Tooling Solutions
INV-0440,V023,Tiwari Insulation Materials,2025-11-25,2026-01-09,111212.36,71953.32,2026-01-24,45,true,medium,partially_paid,Invoice from Tiwari Insulation Materials
INV-0823,V050,NTN Bearing India,2025-12-18,2026-02-01,201141.01,201141.01,2026-01-30,45,false,,paid,Invoice from NTN Bearing India
INV-0252,V013,Nair Chemical Industries,2025-10-12,2025-11-11,343151.62,343151.62,2025-12-19,30,true,small,paid,Invoice from Nair Chemical Industries
INV-0343,V017,Pillai Electronics Assembly,2026-02-04,2026-03-06,401654.47,287589.80,2026-04-04,30,true,micro,partially_paid,Invoice from Pillai Electronics Assembly
INV-0818,V050,NTN Bearing India,2025-12-29,2026-02-12,206223.71,206223.71,2026-04-03,45,false,,paid,Invoice from NTN Bearing India
INV-0248,V013,Nair Chemical Industries,2026-02-22,2026-03-24,224620.88,168850.22,2026-03-25,30,true,small,partially_paid,Invoice from Nair Chemical Industries
INV-0709,V042,Kirloskar Brothers,2025-11-14,2026-01-13,210737.07,0.00,,60,false,,overdue,Invoice from Kirloskar Brothers
INV-0143,V008,Agarwal Electrical Systems,2025-12-09,2026-01-08,297986.92,101903.70,2026-01-21,30,true,micro,partially_paid,Invoice from Agarwal Electrical Systems
INV-0317,V016,Mishra Casting Works,2026-03-06,2026-04-20,484357.32,230468.40,2026-05-08,45,true,small,partially_paid,Invoice from Mishra Casting Works
INV-0572,V032,Adani Enterprises Ltd,2026-02-08,2026-05-09,141446.62,0.00,,90,false,,pending,Invoice from Adani Enterprises Ltd
INV-0200,V011,Deshmukh Rubber Products,2026-01-28,2026-03-14,215443.79,215443.79,2026-04-25,45,true,small,paid,Invoice from Deshmukh Rubber Products
INV-0616,V035,ABB India Limited,2025-12-04,2026-01-18,10866.23,10866.23,2026-02-05,45,false,,paid,Invoice from ABB India Limited
INV-0416,V021,Kulkarni Springs & Washers,2025-11-22,2025-12-22,23306.98,23306.98,2025-12-21,30,true,micro,paid,Invoice from Kulkarni Springs & Washers
INV-0760,V045,Cummins India Ltd,2025-10-20,2025-12-04,366354.53,366354.53,2026-01-01,45,false,,paid,Invoice from Cummins India Ltd
INV-0041,V003,Patel Fabrication Works,2026-02-26,2026-03-13,367294.26,0.00,,,true,micro,overdue,Invoice from Patel Fabrication Works
INV-0367,V018,Thakur Industrial Fasteners,2026-02-03,2026-05-04,24375.35,0.00,,90,true,small,pending,Invoice from Thakur Industrial Fasteners
INV-0009,V001,Sharma Precision Tools Pvt Ltd,2025-12-12,2026-01-11,52874.61,0.00,,30,true,micro,overdue,Invoice from Sharma Precision Tools Pvt Ltd
INV-0342,V017,Pillai Electronics Assembly,2026-01-04,2026-02-03,62010.82,62010.82,2026-02-01,30,true,micro,paid,Invoice from Pillai Electronics Assembly
INV-0186,V010,Kumar Metal Works,2026-01-31,2026-03-02,482921.33,0.00,,,true,micro,overdue,Invoice from Kumar Metal Works
INV-0202,V011,Deshmukh Rubber Products,2026-03-01,2026-04-15,34520.83,0.00,,45,true,small,pending,Invoice from Deshmukh Rubber Products
INV-0548,V030,JSW Steel Limited,2025-11-17,2026-01-16,80826.85,0.00,,60,false,,overdue,Invoice from JSW Steel Limited
INV-0630,V036,Bosch India Limited,2025-10-25,2025-12-24,240372.64,240372.64,2025-12-24,60,false,,paid,Invoice from Bosch India Limited
INV-0280,V014,Rao Hydraulics & Pneumatics,2025-11-01,2025-12-16,212467.74,0.00,,,true,micro,overdue,Invoice from Rao Hydraulics & Pneumatics
INV-0507,V027,Larsen & Toubro Ltd,2025-12-26,2026-02-24,499070.82,499070.82,2026-03-21,60,false,,paid,Invoice from Larsen & Toubro Ltd
INV-0621,V036,Bosch India Limited,2025-12-06,2026-02-04,232203.88,232203.88,2026-01-30,60,false,,paid,Invoice from Bosch India Limited
INV-0688,V041,Thermax Limited,2026-02-05,2026-03-07,465311.61,0.00,,30,false,,overdue,Invoice from Thermax Limited
INV-0294,V015,Verma Welding Electrodes,2026-02-03,2026-03-05,59413.54,0.00,,30,true,micro,overdue,Invoice from Verma Welding Electrodes
INV-0253,V013,Nair Chemical Industries,2026-02-11,2026-03-13,119933.28,63538.88,2026-04-03,30,true,small,partially_paid,Invoice from Nair Chemical Industries
INV-0079,V005,Mehta Polymers & Plastics,2025-11-27,2025-12-27,417703.75,0.00,,30,true,medium,overdue,Invoice from Mehta Polymers & Plastics
INV-0284,V015,Verma Welding Electrodes,2026-02-22,2026-03-24,490559.22,490559.22,2026-05-21,30,true,micro,paid,Invoice from Verma Welding Electrodes
INV-0126,V007,Joshi Engineering Solutions,2025-11-10,2025-12-25,216236.67,0.00,,45,true,small,overdue,Invoice from Joshi Engineering Solutions
INV-0707,V042,Kirloskar Brothers,2026-03-17,2026-05-16,244881.42,244881.42,2026-05-13,60,false,,paid,Invoice from Kirloskar Brothers
INV-0181,V010,Kumar Metal Works,2025-10-20,2025-12-04,488420.48,385976.88,2025-12-30,,true,micro,partially_paid,Invoice from Kumar Metal Works
INV-0136,V008,Agarwal Electrical Systems,2025-10-23,2025-11-22,193288.61,193288.61,2025-11-20,30,true,micro,paid,Invoice from Agarwal Electrical Systems
INV-0481,V026,Mahindra & Mahindra Ltd,2025-11-13,2025-12-28,300771.79,0.00,,45,false,,overdue,Invoice from Mahindra & Mahindra Ltd
INV-0118,V007,Joshi Engineering Solutions,2026-03-01,2026-04-15,230431.00,0.00,,45,true,small,pending,Invoice from Joshi Engineering Solutions
INV-0387,V019,Saxena Tooling Solutions,2025-11-27,2025-12-27,233531.59,0.00,,,true,micro,overdue,Invoice from Saxena Tooling Solutions
INV-0694,V042,Kirloskar Brothers,2026-03-03,2026-05-02,290787.21,0.00,,60,false,,pending,Invoice from Kirloskar Brothers
INV-0513,V028,Bharat Heavy Electricals,2025-12-20,2026-02-03,282441.36,0.00,,45,false,,overdue,Invoice from Bharat Heavy Electricals
INV-0466,V025,Reliance Industries Ltd,2026-03-12,2026-06-10,251528.84,111889.04,2026-07-10,90,false,,partially_paid,Invoice from Reliance Industries Ltd
INV-0596,V034,Siemens India Ltd,2026-02-17,2026-04-18,374705.22,0.00,,60,false,,pending,Invoice from Siemens India Ltd
INV-0017,V001,Sharma Precision Tools Pvt Ltd,2025-12-19,2026-01-18,108705.98,108705.98,2026-01-13,30,true,micro,paid,Invoice from Sharma Precision Tools Pvt Ltd
INV-0432,V023,Tiwari Insulation Materials,2026-02-07,2026-03-24,476630.75,476630.75,2026-03-20,45,true,medium,paid,Invoice from Tiwari Insulation Materials
INV-0022,V001,Sharma Precision Tools Pvt Ltd,2025-12-07,2026-01-06,137531.73,137531.73,2026-01-02,30,true,micro,paid,Invoice from Sharma Precision Tools Pvt Ltd
INV-0467,V025,Reliance Industries Ltd,2026-01-01,2026-04-01,244057.68,0.00,,90,false,,pending,Invoice from Reliance Industries Ltd
INV-0645,V038,Blue Star Limited,2026-02-24,2026-04-10,7571.64,7571.64,2026-04-08,45,false,,paid,Invoice from Blue Star Limited
INV-0778,V047,Timken India Ltd,2026-01-17,2026-03-03,33663.44,33663.44,2026-02-28,45,false,,paid,Invoice from Timken India Ltd
INV-0496,V027,Larsen & Toubro Ltd,2025-12-15,2026-02-13,168963.60,168963.60,2026-02-10,60,false,,paid,Invoice from Larsen & Toubro Ltd
INV-0324,V016,Mishra Casting Works,2025-12-23,2026-02-06,178756.59,178756.59,2026-02-05,45,true,small,paid,Invoice from Mishra Casting Works
INV-0538,V030,JSW Steel Limited,2026-02-03,2026-04-04,307422.48,154555.17,2026-04-17,60,false,,partially_paid,Invoice from JSW Steel Limited
INV-0768,V046,SKF India Limited,2025-12-17,2026-02-15,467292.58,467292.58,2026-02-11,60,false,,paid,Invoice from SKF India Limited
INV-0698,V042,Kirloskar Brothers,2025-10-14,2025-12-13,199309.28,199309.28,2025-12-11,60,false,,paid,Invoice from Kirloskar Brothers
INV-0125,V007,Joshi Engineering Solutions,2025-11-26,2026-01-10,308262.90,0.00,,45,true,small,overdue,Invoice from Joshi Engineering Solutions
INV-0696,V042,Kirloskar Brothers,2026-02-18,2026-04-19,134864.93,0.00,,60,false,,pending,Invoice from Kirloskar Brothers
INV-0314,V016,Mishra Casting Works,2025-12-14,2026-01-28,406825.80,241342.30,2026-02-14,45,true,small,partially_paid,Invoice from Mishra Casting Works
INV-0557,V031,Godrej Industries Ltd,2025-11-09,2025-12-24,225513.93,225513.93,2025-12-23,45,false,,paid,Invoice from Godrej Industries Ltd
INV-0480,V026,Mahindra & Mahindra Ltd,2026-01-23,2026-03-09,293755.34,293755.34,2026-03-07,45,false,,paid,Invoice from Mahindra & Mahindra Ltd
INV-0221,V012,Banerjee Textiles,2025-10-15,2025-11-14,400660.30,0.00,,30,true,medium,overdue,Invoice from Banerjee Textiles
INV-0237,V013,Nair Chemical Industries,2026-03-10,2026-04-09,67491.90,0.00,,30,true,small,pending,Invoice from Nair Chemical Industries
INV-0254,V013,Nair Chemical Industries,2026-03-17,2026-04-16,449959.72,449959.72,2026-05-05,30,true,small,paid,Invoice from Nair Chemical Industries
INV-0048,V003,Patel Fabrication Works,2025-10-09,2025-10-24,34142.51,0.00,,,true,micro,overdue,Invoice from Patel Fabrication Works
INV-0660,V039,Voltas Limited,2025-10-04,2025-12-03,487241.56,487241.56,2025-12-01,60,false,,paid,Invoice from Voltas Limited
INV-0261,V013,Nair Chemical Industries,2026-03-07,2026-04-06,455755.39,0.00,,30,true,small,pending,Invoice from Nair Chemical Industries
INV-0113,V006,Singh Auto Parts,2025-10-15,2025-11-14,329079.28,329079.28,2025-12-28,,true,micro,paid,Invoice from Singh Auto Parts
INV-0763,V046,SKF India Limited,2026-03-13,2026-05-12,424706.59,191468.21,2026-05-28,60,false,,partially_paid,Invoice from SKF India Limited
INV-0770,V046,SKF India Limited,2026-03-01,2026-04-30,13261.25,13261.25,2026-04-28,60,false,,paid,Invoice from SKF India Limited
INV-0123,V007,Joshi Engineering Solutions,2025-11-23,2026-01-07,71002.86,71002.86,2026-02-10,45,true,small,paid,Invoice from Joshi Engineering Solutions
INV-0057,V004,Reddy Industrial Supplies,2026-02-28,2026-04-29,224349.72,0.00,,60,true,small,pending,Invoice from Reddy Industrial Supplies
INV-0686,V041,Thermax Limited,2025-11-24,2025-12-24,162860.19,162860.19,2025-12-19,30,false,,paid,Invoice from Thermax Limited
INV-0306,V016,Mishra Casting Works,2025-12-26,2026-02-09,193547.68,86602.69,2026-02-25,45,true,small,partially_paid,Invoice from Mishra Casting Works
INV-0653,V039,Voltas Limited,2026-01-10,2026-03-11,249096.35,249096.35,2026-03-08,60,false,,paid,Invoice from Voltas Limited
INV-0249,V013,Nair Chemical Industries,2025-12-26,2026-01-25,399091.02,399091.02,2026-01-23,30,true,small,paid,Invoice from Nair Chemical Industries
INV-0527,V029,Hindustan Unilever Ltd,2025-10-04,2025-11-03,289196.01,289196.01,2025-12-20,30,false,,paid,Invoice from Hindustan Unilever Ltd
INV-0228,V012,Banerjee Textiles,2026-03-02,2026-04-01,141742.46,0.00,,30,true,medium,pending,Invoice from Banerjee Textiles
INV-0757,V045,Cummins India Ltd,2026-01-24,2026-03-10,315899.62,315899.62,2026-03-07,45,false,,paid,Invoice from Cummins India Ltd
INV-0025,V001,Sharma Precision Tools Pvt Ltd,2025-10-27,2025-11-26,271793.76,0.00,,30,true,micro,overdue,Invoice from Sharma Precision Tools Pvt Ltd
INV-0240,V013,Nair Chemical Industries,2026-03-16,2026-04-15,362609.69,362609.69,2026-05-27,30,true,small,paid,Invoice from Nair Chemical Industries
INV-0506,V027,Larsen & Toubro Ltd,2026-03-04,2026-05-03,354358.74,354358.74,2026-06-08,60,false,,paid,Invoice from Larsen & Toubro Ltd
INV-0603,V035,ABB India Limited,2026-03-15,2026-04-29,134083.18,0.00,,45,false,,pending,Invoice from ABB India Limited
INV-0309,V016,Mishra Casting Works,2026-01-23,2026-03-09,217884.62,0.00,,45,true,small,overdue,Invoice from Mishra Casting Works
INV-0825,V050,NTN Bearing India,2025-11-24,2026-01-08,280197.11,97330.01,2026-01-11,45,false,,partially_paid,Invoice from NTN Bearing India
INV-0493,V027,Larsen & Toubro Ltd,2025-12-28,2026-02-26,85438.51,0.00,,60,false,,overdue,Invoice from Larsen & Toubro Ltd
INV-0045,V003,Patel Fabrication Works,2025-12-07,2026-01-21,497598.93,497598.93,2026-03-20,,true,micro,paid,Invoice from Patel Fabrication Works
INV-0150,V009,Iyer Packaging Industries,2025-10-04,2025-11-03,24927.78,24927.78,2025-11-02,30,true,small,paid,Invoice from Iyer Packaging Industries
INV-0214,V011,Deshmukh Rubber Products,2025-10-30,2025-12-14,23165.08,23165.08,2025-12-12,45,true,small,paid,Invoice from Deshmukh Rubber Products
INV-0663,V039,Voltas Limited,2026-01-04,2026-03-05,368762.81,289066.36,2026-03-30,60,false,,partially_paid,Invoice from Voltas Limited
INV-0174,V010,Kumar Metal Works,2026-01-17,2026-03-03,346851.62,0.00,,,true,micro,overdue,Invoice from Kumar Metal Works
INV-0705,V042,Kirloskar Brothers,2026-02-05,2026-04-06,247372.80,247372.80,2026-04-04,60,false,,paid,Invoice from Kirloskar Brothers
INV-0117,V007,Joshi Engineering Solutions,2026-03-08,2026-04-22,126197.06,126197.06,2026-06-16,45,true,small,paid,Invoice from Joshi Engineering Solutions
INV-0520,V028,Bharat Heavy Electricals,2025-10-20,2025-12-04,123444.62,123444.62,2025-11-30,45,false,,paid,Invoice from Bharat Heavy Electricals
INV-0226,V012,Banerjee Textiles,2026-01-16,2026-02-15,231109.30,231109.30,2026-02-14,30,true,medium,paid,Invoice from Banerjee Textiles
INV-0194,V011,Deshmukh Rubber Products,2026-01-25,2026-03-11,314629.94,314629.94,2026-03-11,45,true,small,paid,Invoice from Deshmukh Rubber Products
INV-0285,V015,Verma Welding Electrodes,2025-10-05,2025-11-04,182543.55,182543.55,2025-11-17,30,true,micro,paid,Invoice from Verma Welding Electrodes
INV-0461,V025,Reliance Industries Ltd,2025-11-11,2026-02-09,322288.78,190254.56,2026-02-14,90,false,,partially_paid,Invoice from Reliance Industries Ltd
INV-0264,V014,Rao Hydraulics & Pneumatics,2026-02-12,2026-03-29,315982.81,143603.58,2026-04-12,,true,micro,partially_paid,Invoice from Rao Hydraulics & Pneumatics
INV-0695,V042,Kirloskar Brothers,2025-11-02,2026-01-01,97545.12,97545.12,2025-12-29,60,false,,paid,Invoice from Kirloskar Brothers
INV-0127,V007,Joshi Engineering Solutions,2025-11-25,2026-01-09,449118.01,0.00,,45,true,small,overdue,Invoice from Joshi Engineering Solutions
INV-0147,V009,Iyer Packaging Industries,2026-01-14,2026-02-13,418280.90,418280.90,2026-04-02,30,true,small,paid,Invoice from Iyer Packaging Industries
INV-0029,V001,Sharma Precision Tools Pvt Ltd,2025-12-01,2025-12-31,300222.47,300222.47,2026-02-08,30,true,micro,paid,Invoice from Sharma Precision Tools Pvt Ltd
INV-0834,V051,ITC Limited,2025-11-12,2025-12-12,19593.74,7571.09,2025-12-18,30,false,,partially_paid,Invoice from ITC Limited
INV-0634,V036,Bosch India Limited,2026-01-17,2026-03-18,285514.48,0.00,,60,false,,overdue,Invoice from Bosch India Limited
INV-0846,V051,ITC Limited,2025-10-21,2025-11-20,499804.84,0.00,,30,false,,overdue,Invoice from ITC Limited
INV-0335,V017,Pillai Electronics Assembly,2025-10-17,2025-11-16,32117.07,32117.07,2025-11-15,30,true,micro,paid,Invoice from Pillai Electronics Assembly
INV-0085,V005,Mehta Polymers & Plastics,2025-10-08,2025-11-07,427191.84,427191.84,2025-11-24,30,true,medium,paid,Invoice from Mehta Polymers & Plastics
INV-0745,V044,Ashok Leyland Ltd,2026-01-08,2026-02-07,51203.29,51203.29,2026-02-13,30,false,,paid,Invoice from Ashok Leyland Ltd
INV-0054,V004,Reddy Industrial Supplies,2026-02-22,2026-04-23,35003.27,0.00,,60,true,small,pending,Invoice from Reddy Industrial Supplies
INV-0201,V011,Deshmukh Rubber Products,2026-02-09,2026-03-26,454663.67,0.00,,45,true,small,overdue,Invoice from Deshmukh Rubber Products
INV-0290,V015,Verma Welding Electrodes,2025-10-29,2025-11-28,107542.90,107542.90,2025-11-27,30,true,micro,paid,Invoice from Verma Welding Electrodes
INV-0462,V025,Reliance Industries Ltd,2025-10-02,2025-12-31,314117.20,0.00,,90,false,,overdue,Invoice from Reliance Industries Ltd
INV-0394,V019,Saxena Tooling Solutions,2025-12-20,2026-01-19,465583.60,465583.60,2026-01-15,,true,micro,paid,Invoice from Saxena Tooling Solutions
INV-0720,V043,Escorts Limited,2025-10-14,2025-11-28,318221.46,318221.46,2025-11-27,45,false,,paid,Invoice from Escorts Limited
INV-0105,V006,Singh Auto Parts,2026-01-30,2026-03-16,131087.64,131087.64,2026-04-19,,true,micro,paid,Invoice from Singh Auto Parts
INV-0717,V043,Escorts Limited,2026-03-11,2026-04-25,227617.51,227617.51,2026-04-25,45,false,,paid,Invoice from Escorts Limited
INV-0668,V040,Crompton Greaves,2026-03-02,2026-04-16,410387.96,0.00,,45,false,,pending,Invoice from Crompton Greaves
INV-0282,V015,Verma Welding Electrodes,2026-01-07,2026-02-06,21194.56,21194.56,2026-03-07,30,true,micro,paid,Invoice from Verma Welding Electrodes
INV-0455,V025,Reliance Industries Ltd,2025-10-29,2026-01-27,321698.00,321698.00,2026-01-26,90,false,,paid,Invoice from Reliance Industries Ltd
INV-0516,V028,Bharat Heavy Electricals,2026-02-10,2026-03-27,148774.06,148774.06,2026-03-22,45,false,,paid,Invoice from Bharat Heavy Electricals
INV-0189,V010,Kumar Metal Works,2026-01-01,2026-01-16,47164.55,47164.55,2026-01-13,,true,micro,paid,Invoice from Kumar Metal Works
INV-0656,V039,Voltas Limited,2025-11-13,2026-01-12,298934.17,298934.17,2026-01-12,60,false,,paid,Invoice from Voltas Limited
INV-0275,V014,Rao Hydraulics & Pneumatics,2026-02-20,2026-03-22,339044.09,339044.09,2026-03-18,,true,micro,paid,Invoice from Rao Hydraulics & Pneumatics
INV-0218,V011,Deshmukh Rubber Products,2025-10-11,2025-11-25,379439.36,258016.97,2025-12-01,45,true,small,partially_paid,Invoice from Deshmukh Rubber Products
INV-0428,V022,Choudhary Paint & Coatings,2025-11-30,2025-12-30,87489.16,87489.16,2026-01-28,30,true,small,paid,Invoice from Choudhary Paint & Coatings
INV-0073,V004,Reddy Industrial Supplies,2026-01-12,2026-03-13,106108.30,0.00,,60,true,small,overdue,Invoice from Reddy Industrial Supplies
INV-0031,V002,Gupta Electronics Components,2026-02-18,2026-04-04,342446.63,342446.63,2026-04-22,45,true,small,paid,Invoice from Gupta Electronics Components
INV-0159,V009,Iyer Packaging Industries,2025-10-17,2025-11-16,403736.34,0.00,,30,true,small,overdue,Invoice from Iyer Packaging Industries
